,,,,,Games,,Rushing,,,,,,,Receiving,,,,,,,,,,,
Rk,Name,Tm,Age,Pos,G,GS,*Att,*Yds,TD,Lng,Y/A,Y/G,A/G,Tgt,*Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Ctch%,YScm,RRTD,Fmb
118,Andre Ellington,ARI,28,,8,0,15,53,1,14,3.5,6.6,1.9,50,33,297,9,0,24,4.1,37.1,66.00%,350,1,0
119,Ryan Fitzpatrick,TAM,35,qb,6,3,15,78,0,15,5.2,13,2.5,,,,,,,,,,78,0,0
120,Darren Sproles,PHI,34,,3,0,15,61,0,12,4.1,20.3,5,12,7,73,10.4,0,16,2.3,24.3,58.30%,134,0,1
121,Jameis Winston,TAM,23,QB,8,8,15,51,0,9,3.4,6.4,1.9,,,,,,,,,,51,0,8
122,Brett Hundley,GNB,24,qb,7,5,14,110,2,22,7.9,15.7,2,,,,,,,,,,110,2,3
123,Carson Palmer,ARI,38,QB,7,7,14,12,0,4,0.9,1.7,2,,,,,,,,,,12,0,2
124,Philip Rivers,LAC,36,QB,11,11,14,-5,0,8,-0.4,-0.5,1.3,,,,,,,,,,-5,0,5
125,Cameron Artis-Payne,CAR,25,,8,0,13,79,1,43,6.1,9.9,1.6,1,1,2,2,0,2,0.1,0.3,100.00%,81,1,0
126,Kenjon Barner,PHI,28,rb,8,1,13,38,1,16,2.9,4.8,1.6,6,4,42,10.5,0,22,0.5,5.3,66.70%,80,1,1
127,Derek Carr,OAK,26,QB,10,10,13,16,0,15,1.2,1.6,1.3,,,,,,,,,,16,0,5
128,Charles Sims,TAM,27,,11,0,13,57,0,21,4.4,5.2,1.2,36,26,178,6.8,1,25,2.4,16.2,72.20%,235,1,1
129,David Johnson,ARI,26,rb,1,1,11,23,0,6,2.1,23,11,9,6,67,11.2,0,24,6,67,66.70%,90,0,2
130,C.J. Prosise,SEA,23,,5,0,11,23,0,8,2.1,4.6,2.2,11,6,87,14.5,0,46,1.2,17.4,54.50%,110,0,0
131,Zach Zenner,DET,26,,6,0,11,22,1,14,2,3.7,1.8,1,0,0,,0,0,0,0,0.00%,22,1,0
132,Travaris Cadet,2TM,28,,5,0,10,48,0,12,4.8,9.6,2,12,12,86,7.2,0,16,2.4,17.2,100.00%,134,0,0
133,Jay Cutler,MIA,34,QB,9,9,10,20,0,9,2,2.2,1.1,,,,,,,,,,20,0,1
134,Kevin Hogan,CLE,25,qb,4,1,10,71,0,11,7.1,17.8,2.5,,,,,,,,,,71,0,1
135,Cordarrelle Patterson,OAK,26,wr,11,1,10,124,2,47,12.4,11.3,0.9,27,21,186,8.9,0,54,1.9,16.9,77.80%,310,2,1
136,Charcandrick West,KAN,26,,10,0,10,41,1,21,4.1,4.1,1,27,24,122,5.1,2,13,2.4,12.2,88.90%,163,3,1
137,Benny Cunningham,CHI,27,,9,0,9,29,0,12,3.2,3.2,1,16,11,125,11.4,1,38,1.2,13.9,68.80%,154,1,1
138,Trey Edmunds,NOR,23,,11,0,9,48,1,41,5.3,4.4,0.8,,,,,,,,,,48,1,0
139,Blaine Gabbert,ARI,28,qb,2,2,9,30,0,12,3.3,15,4.5,,,,,,,,,,30,0,3
140,Travis Benjamin,LAC,28,wr,11,2,8,67,0,14,8.4,6.1,0.7,38,23,375,16.3,3,46,2.1,34.1,60.50%,442,3,2
141,Mack Brown,WAS,26,,3,0,8,29,0,11,3.6,9.7,2.7,1,1,11,11,0,11,0.3,3.7,100.00%,40,0,0
142,Tyler Lockett,SEA,25,WR,11,6,8,46,0,22,5.8,4.2,0.7,55,33,408,12.4,0,54,3,37.1,60.00%,454,0,0
143,Eli Manning,NYG,36,QB,11,11,8,25,1,14,3.1,2.3,0.7,,,,,,,,,,25,1,8
144,Jamize Olawale,OAK,28,,7,0,8,34,1,11,4.3,4.9,1.1,5,4,19,4.8,0,9,0.6,2.7,80.00%,53,1,1
145,Randall Cobb,GNB,27,WR,10,10,7,19,0,10,2.7,1.9,0.7,57,43,463,10.8,2,46,4.3,46.3,75.40%,482,2,1
146,Nick Foles,PHI,28,,3,0,7,-6,0,0,-0.9,-2,2.3,,,,,,,,,,-6,0,2
147,Jamison Crowder,WAS,24,wr,10,4,6,35,0,11,5.8,3.5,0.6,72,46,561,12.2,1,41,4.6,56.1,63.90%,596,1,5
