Rk,Name,Tm,Age,Pos,G,GS,*Tgt,*Rec,Ctch%,*Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
386,Michael Burton,CHI,25,fb,11,2,2,1,50.00%,8,8,0,8,0.1,0.7,0
387,Jehu Chesson,KAN,24,,7,0,1,1,100.00%,10,10,0,10,0.1,1.4,0
388,Jeff Cumberland,LAC,30,te,2,2,1,1,100.00%,2,2,0,2,0.5,1,0
389,Harry Douglas,TEN,33,,1,0,3,1,33.30%,8,8,0,8,1,8,0
390,Marvin Hall,ATL,24,,4,0,5,1,20.00%,40,40,1,40,0.3,10,0
391,James Hanna,DAL,28,te,11,5,5,1,20.00%,28,28,1,28,0.1,2.5,0
392,Matt Hazel,IND,25,,3,0,1,1,100.00%,1,1,0,1,0.3,0.3,0
393,Ryan Hewitt,CIN,26,rb,8,4,1,1,100.00%,16,16,0,16,0.1,2,0
394,Darrius Heyward-Bey,PIT,30,,11,0,2,1,50.00%,44,44,0,44,0.1,4,0
395,Taiwan Jones,BUF,29,,8,0,2,1,50.00%,11,11,0,11,0.1,1.4,0
396,Joe Kerridge,GNB,25,,2,0,1,1,100.00%,3,3,0,3,0.5,1.5,0
397,Jordan Leslie,CLE,26,,2,0,1,1,100.00%,26,26,0,26,0.5,13,0
398,Chris Manhertz,CAR,25,te,11,3,2,1,50.00%,11,11,0,11,0.1,1,0
399,Byron Marshall,WAS,23,,2,0,2,1,50.00%,12,12,0,12,0.5,6,0
400,Max McCaffrey,JAX,23,,5,0,1,1,100.00%,4,4,0,4,0.2,0.8,0
401,Jaydon Mickens,JAX,23,,5,0,2,1,50.00%,11,11,0,11,0.2,2.2,2
402,Brian Mihalik,DET,25,lt,9,2,1,1,100.00%,-4,-4,0,-4,0.1,-0.4,0
403,Ifeanyi Momah,ARI,28,te,9,2,2,1,50.00%,46,46,0,46,0.1,5.1,0
404,Jojo Natson,NYJ,23,,2,0,1,1,100.00%,-1,-1,0,-1,0.5,-0.5,1
405,Charone Peake,NYJ,25,,3,0,1,1,100.00%,3,3,0,3,0.3,1,0
406,Elijhaa Penny,ARI,24,,11,0,1,1,100.00%,6,6,0,6,0.1,0.5,0
407,Kalif Raymond,2TM,23,,4,0,1,1,100.00%,12,12,0,12,0.3,3,4
408,Patrick Ricard,BAL,23,,11,0,1,1,100.00%,1,1,0,1,0.1,0.1,0
409,Andre Roberts,ATL,29,,11,0,4,1,25.00%,12,12,0,12,0.1,1.1,4
410,Michael Roberts,DET,23,,11,0,3,1,33.30%,15,15,0,15,0.1,1.4,0
411,Allen Robinson,JAX,24,wr,1,1,1,1,100.00%,17,17,0,17,1,17,0
412,Jeremy Sprinkle,WAS,23,te/wr,6,4,2,1,50.00%,7,7,1,7,0.2,1.2,0
413,Neal Sterling,NYJ,29,,6,0,2,1,50.00%,8,8,0,8,0.2,1.3,0
414,Mike Thomas,LAR,23,,3,0,1,1,100.00%,12,12,0,12,0.3,4,0
415,Chris Thompson,HOU,,,8,0,1,1,100.00%,19,19,0,19,0.1,2.4,2
416,Derek Watt,LAC,25,fb,11,3,2,1,50.00%,12,12,0,12,0.1,1.1,0
417,Eric Weems,TEN,32,,11,0,2,1,50.00%,5,5,0,5,0.1,0.5,0
418,Markus Wheaton,CHI,26,,6,0,12,1,8.30%,4,4,0,4,0.2,0.7,0
419,Marcus Williams,2TM,26,,11,0,1,1,100.00%,31,31,0,31,0.1,2.8,0
420,Kevin Zeitler,CLE,27,RG,11,11,1,1,100.00%,-4,-4,0,-4,0.1,-0.4,0
