Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
TE,Khari Lee,2500,NE@BUF 12/03/2017 01:00PM ET,0,BUF
TE,Dwayne Allen,2500,NE@BUF 12/03/2017 01:00PM ET,1.245,NE
TE,Jacob Hollister,2500,NE@BUF 12/03/2017 01:00PM ET,0.67,NE
TE,Adam Shaheen,2500,SF@CHI 12/03/2017 01:00PM ET,2.573,CHI
TE,Daniel Brown,2500,SF@CHI 12/03/2017 01:00PM ET,1.611,CHI
TE,Ben Braunecker,2500,SF@CHI 12/03/2017 01:00PM ET,0,CHI
TE,Dion Sims,2500,SF@CHI 12/03/2017 01:00PM ET,3,CHI
TE,Andrew DePaola,2500,SF@CHI 12/03/2017 01:00PM ET,0,CHI
TE,Logan Paulsen,2500,SF@CHI 12/03/2017 01:00PM ET,0,SF
TE,Kyle Nelson,2500,SF@CHI 12/03/2017 01:00PM ET,0,SF
TE,Richard Rodgers,2500,TB@GB 12/03/2017 01:00PM ET,1.355,GB
TE,Lance Kendricks,2500,TB@GB 12/03/2017 01:00PM ET,2.727,GB
TE,Antony Auclair,2500,TB@GB 12/03/2017 01:00PM ET,0,TB
TE,Luke Stocker,2500,TB@GB 12/03/2017 01:00PM ET,1.2,TB
TE,Erik Swoope,2500,IND@JAX 12/03/2017 01:00PM ET,0,IND
TE,Brandon Williams,2500,IND@JAX 12/03/2017 01:00PM ET,1.745,IND
TE,Darrell Daniels,2500,IND@JAX 12/03/2017 01:00PM ET,0.56,IND
TE,Jason Vander Laan,2500,IND@JAX 12/03/2017 01:00PM ET,0,IND
TE,James O'Shaughnessy,2500,IND@JAX 12/03/2017 01:00PM ET,1.236,JAX
TE,Ben Koyack,2500,IND@JAX 12/03/2017 01:00PM ET,0.436,JAX
TE,Ross Travis,2500,IND@JAX 12/03/2017 01:00PM ET,0.845,IND
TE,Jake Butt,2500,DEN@MIA 12/03/2017 01:00PM ET,0,DEN
TE,Austin Traylor,2500,DEN@MIA 12/03/2017 01:00PM ET,6,DEN
TE,Jeff Heuerman,2500,DEN@MIA 12/03/2017 01:00PM ET,2.156,DEN
TE,Virgil Green,2500,DEN@MIA 12/03/2017 01:00PM ET,2.991,DEN
TE,MarQueis Gray,2500,DEN@MIA 12/03/2017 01:00PM ET,0.027,MIA
TE,Anthony Fasano,2500,DEN@MIA 12/03/2017 01:00PM ET,1.591,MIA
TE,Michael Hoomanawanui,2500,CAR@NO 12/03/2017 04:25PM ET,1.473,NO
TE,Josh Hill,2500,CAR@NO 12/03/2017 04:25PM ET,1.764,NO
TE,Chris Manhertz,2500,CAR@NO 12/03/2017 04:25PM ET,0.191,CAR
TE,James Winchester,2500,KC@NYJ 12/03/2017 01:00PM ET,0,KC
TE,Demetrius Harris,2500,KC@NYJ 12/03/2017 01:00PM ET,2.136,KC
TE,Eric Tomlinson,2500,KC@NYJ 12/03/2017 01:00PM ET,2.567,NYJ
TE,Neal Sterling,2500,KC@NYJ 12/03/2017 01:00PM ET,0.3,NYJ
DST,Jets ,2500,KC@NYJ 12/03/2017 01:00PM ET,5.455,NYJ
TE,Stephen Anderson,2500,HOU@TEN 12/03/2017 01:00PM ET,4.13,HOU
TE,Phillip Supernaw,2500,HOU@TEN 12/03/2017 01:00PM ET,0.991,TEN
TE,Beau Brinkley,2500,HOU@TEN 12/03/2017 01:00PM ET,0,TEN
TE,Seth DeValve,2500,CLE@LAC 12/03/2017 04:05PM ET,5.382,CLE
TE,David Njoku,2500,CLE@LAC 12/03/2017 04:05PM ET,6.173,CLE
TE,Randall Telfer,2500,CLE@LAC 12/03/2017 04:05PM ET,0.4,CLE
TE,Matt Lengel,2500,CLE@LAC 12/03/2017 04:05PM ET,0,CLE
TE,Sean Culkin,2500,CLE@LAC 12/03/2017 04:05PM ET,0,LAC
TE,Jeff Cumberland,2500,CLE@LAC 12/03/2017 04:05PM ET,0.6,LAC
TE,Sean McGrath,2500,CLE@LAC 12/03/2017 04:05PM ET,0.4,LAC
TE,Gerald Everett,2500,LAR@ARI 12/03/2017 04:25PM ET,3.527,LAR
TE,Tyler Higbee,2500,LAR@ARI 12/03/2017 04:25PM ET,4.836,LAR
TE,Derek Carrier,2500,LAR@ARI 12/03/2017 04:25PM ET,0.922,LAR
TE,Jermaine Gresham,2500,LAR@ARI 12/03/2017 04:25PM ET,6.2,ARI
TE,Troy Niklas,2500,LAR@ARI 12/03/2017 04:25PM ET,1.945,ARI
TE,Lee Smith,2500,NYG@OAK 12/03/2017 04:25PM ET,0.973,OAK
TE,Clive Walford,2500,NYG@OAK 12/03/2017 04:25PM ET,0.364,OAK
TE,Jerell Adams,2500,NYG@OAK 12/03/2017 04:25PM ET,0.918,NYG
TE,Rhett Ellison,2500,NYG@OAK 12/03/2017 04:25PM ET,2.245,NYG
DST,Giants ,2500,NYG@OAK 12/03/2017 04:25PM ET,6.091,NYG
DST,Texans ,2400,HOU@TEN 12/03/2017 01:00PM ET,7,HOU
DST,Panthers ,2300,CAR@NO 12/03/2017 04:25PM ET,8.364,CAR
DST,Cardinals ,2200,LAR@ARI 12/03/2017 04:25PM ET,6,ARI
DST,Browns ,2100,CLE@LAC 12/03/2017 04:05PM ET,5.182,CLE
DST,Bills ,2000,NE@BUF 12/03/2017 01:00PM ET,6.727,BUF
