Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
DST,Bears ,3500,SF@CHI 12/03/2017 01:00PM ET,7.909,CHI
RB,Jamaal Charles,3500,DEN@MIA 12/03/2017 01:00PM ET,5.018,DEN
TE,Julius Thomas,3500,DEN@MIA 12/03/2017 01:00PM ET,7.291,MIA
RB,Elijah McGuire,3500,KC@NYJ 12/03/2017 01:00PM ET,5.027,NYJ
RB,Andre Ellington,3500,HOU@TEN 12/03/2017 01:00PM ET,9.25,HOU
RB,Branden Oliver,3500,CLE@LAC 12/03/2017 04:05PM ET,2.62,LAC
WR,Josh Reynolds,3500,LAR@ARI 12/03/2017 04:25PM ET,1.591,LAR
RB,Wayne Gallman,3500,NYG@OAK 12/03/2017 04:25PM ET,6.388,NYG
TE,Austin Hooper,3400,MIN@ATL 12/03/2017 01:00PM ET,8.973,ATL
RB,Theo Riddick,3400,DET@BAL 12/03/2017 01:00PM ET,8.3,DET
WR,Deonte Thompson,3400,NE@BUF 12/03/2017 01:00PM ET,7.227,BUF
RB,Mike Gillislee,3400,NE@BUF 12/03/2017 01:00PM ET,7.313,NE
WR,Phillip Dorsett,3400,NE@BUF 12/03/2017 01:00PM ET,1.973,NE
RB,Marlon Mack,3400,IND@JAX 12/03/2017 01:00PM ET,7.767,IND
WR,Keelan Cole,3400,IND@JAX 12/03/2017 01:00PM ET,4.209,JAX
WR,Bennie Fowler,3400,DEN@MIA 12/03/2017 01:00PM ET,6.282,DEN
WR,Albert Wilson,3400,KC@NYJ 12/03/2017 01:00PM ET,8.038,KC
WR,Jeremy Kerley,3400,KC@NYJ 12/03/2017 01:00PM ET,5.963,NYJ
DST,Titans ,3400,HOU@TEN 12/03/2017 01:00PM ET,6,TEN
WR,Cordarrelle Patterson,3400,NYG@OAK 12/03/2017 04:25PM ET,5.818,OAK
WR,Johnny Holton,3400,NYG@OAK 12/03/2017 04:25PM ET,2.918,OAK
RB,Dwayne Washington,3300,DET@BAL 12/03/2017 01:00PM ET,1.56,DET
RB,Zach Zenner,3300,DET@BAL 12/03/2017 01:00PM ET,1.367,DET
DST,Patriots ,3300,NE@BUF 12/03/2017 01:00PM ET,7.545,NE
RB,De'Angelo Henderson,3300,DEN@MIA 12/03/2017 01:00PM ET,0.033,DEN
